Id,Category
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,1
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,1
188,1
189,0
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,0
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,1
